N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
127,대우조선해양,"19,800",250,-1.25%,"5,000","21,244","107,291",3.09,"382,938",-1.09,-55.86,
128,BNK금융지주,"6,490",90,-1.37%,"5,000","21,153","325,935",39.22,"936,017",2.42,8.76,
129,KODEX 200선물인버스2X,"3,365",65,+1.97%,0,"21,031","625,000",3.89,"169,193,221",N/A,N/A,
130,TIGER 미국나스닥100,"69,260",720,-1.03%,0,"20,549","29,670",0.08,"101,901",N/A,N/A,
131,하이트진로,"29,300",550,-1.84%,"5,000","20,549","70,134",11.26,"204,280",26.18,6.62,
132,신세계,"208,500","5,500",-2.57%,"5,000","20,527","9,845",26.89,"50,612",5.74,8.54,
133,대웅제약,"176,500","1,500",+0.86%,"2,500","20,450","11,587",7.58,"32,657",33.31,4.39,
134,씨에스윈드,"47,600",150,+0.32%,500,"20,074","42,171",10.53,"171,739",60.41,10.13,
135,현대로템,"18,150",750,-3.97%,"5,000","19,809","109,142",4.55,"920,300",27.05,5.01,
136,TIGER 200,"30,735",310,-1.00%,0,"19,624","63,850",0.00,"771,193",N/A,N/A,
137,키움증권,"74,400","3,400",-4.37%,"5,000","19,507","26,220",24.09,"87,670",2.69,25.38,
138,두산퓨얼셀,"29,150","1,150",-3.80%,100,"19,091","65,494",14.49,"280,064",236.99,1.69,
139,한화생명,"2,125",5,+0.24%,"5,000","18,456","868,530",7.67,"1,164,653",2.01,10.79,
140,TIGER 단기통안채,"100,990",5,0.00%,0,"18,449","18,268",0.67,"192,259",N/A,N/A,
141,LG화학우,"238,500","9,000",-3.64%,"5,000","18,338","7,689",70.03,"15,132",6.12,N/A,
142,SK케미칼,"103,500","1,500",-1.43%,"5,000","18,238","17,621",18.98,"65,711",13.16,11.19,
143,DB하이텍,"40,800","7,600",-15.70%,"5,000","18,115","44,399",24.00,"4,595,996",4.25,33.35,
144,한화,"23,950",450,-1.84%,"5,000","17,953","74,959",14.48,"178,292",3.67,20.22,
145,KODEX 단기채권PLUS,"103,685",0,0.00%,0,"17,868","17,233",0.00,"31,304",N/A,N/A,
146,한전KPS,"38,250",0,0.00%,200,"17,212","45,000",5.37,"120,511",22.81,9.12,
147,농심,"281,500","1,000",-0.35%,"5,000","17,123","6,083",13.43,"12,050",16.49,4.73,
148,롯데정밀화학,"65,900",800,-1.20%,"5,000","17,002","25,800",20.84,"71,964",2.96,30.43,
149,LS,"52,300",600,-1.13%,"5,000","16,841","32,200",13.93,"172,987",4.85,8.15,
150,휠라홀딩스,"27,450",100,-0.36%,"1,000","16,676","60,752",38.16,"293,933",7.37,16.20,
151,영원무역,"37,300","1,200",-3.12%,500,"16,528","44,311",28.65,"91,254",4.76,14.71,
152,TIGER 미국S&P500,"12,655",30,-0.24%,0,"16,527","130,600",0.18,"560,400",N/A,N/A,
153,오뚜기,"444,500","2,500",-0.56%,"5,000","16,322","3,672",12.07,"4,652",11.19,8.91,
154,대웅,"27,950",450,+1.64%,500,"16,251","58,142",4.42,"43,929",16.40,11.13,
155,롯데칠성,"170,000","5,000",-2.86%,500,"15,774","9,279",11.32,"40,960",10.88,9.96,
156,효성,"73,800","1,900",-2.51%,"5,000","15,550","21,071",5.80,"56,080",3.83,18.04,
157,LS ELECTRIC,"50,600","1,500",-2.88%,"5,000","15,180","30,000",12.86,"180,595",14.76,5.86,
158,현대백화점,"64,500","2,000",-3.01%,"5,000","15,095","23,402",20.29,"76,175",7.24,4.36,
159,효성첨단소재,"333,000","21,000",-5.93%,"5,000","14,918","4,480",6.51,"55,868",5.64,54.69,
160,후성,"16,100","1,500",-8.52%,500,"14,910","92,607",8.49,"3,361,754",24.32,9.61,
161,동원시스템즈,"50,800",800,+1.60%,"5,000","14,828","29,188",13.08,"23,849",34.30,6.95,
162,DL이앤씨,"38,300","1,000",-2.54%,"5,000","14,820","38,694",21.78,"291,922",3.17,N/A,
163,현대위아,"54,300","1,000",-1.81%,"5,000","14,767","27,195",7.93,"148,097",27.08,1.96,
164,LIG넥스원,"67,100","3,300",-4.69%,"5,000","14,762","22,000",9.06,"135,607",11.63,14.63,
165,코스모신소재,"47,600","1,200",-2.46%,"1,000","14,590","30,651",7.38,"478,013",68.19,9.42,
166,솔루스첨단소재,"40,800","2,050",-4.78%,100,"14,325","35,111",6.23,"203,139",170.71,4.00,
167,JB금융지주,"7,040",140,-1.95%,"5,000","13,868","196,983",27.71,"200,155",2.56,12.80,
168,신풍제약,"26,000",350,+1.36%,500,"13,776","52,985",6.15,"830,102",-78.08,-3.19,
169,에스엘,"29,500",500,-1.67%,500,"13,702","46,449",14.47,"126,665",17.04,6.63,
170,대덕전자,"27,400",550,-1.97%,500,"13,540","49,417",18.49,"636,986",16.24,9.55,
